Place,BAU 2010,BAU 2050,EVs,50MPG,LowCarbonElectricity,HeatingElectrificationNew,HeatingElectrificationExisting,EnergyEfficiencyNew,EnergyEfficiencyExisting,ZeroCarbonFuels,AirTravelEfficiency,CommercialEfficiency,WasteandWaterEfficiency,IndustrialEfficiency,AgriculturalEfficiency,VMT,AirTravel,EnergyConsumption,GoodsConsumption,FoodConsumption,WasteConsumption,WaterConsumption
ALBION,90718.92738369021,126266.90687470429,0.10146276322980219,0.10146276322980219,0.1135628571095797,0.10610405373326359,0.10610405373326359,0.08144274114402683,0.09773128937283226,0.06087765793788147,0.006067387918514133,0.059005341196622596,0.007541173035569004,0.09942874617371122,0.08713087318077173,0.04457031640247244,0.008089850558018696,0.0651541929152214,0.04552268072438048,0.025045402273262574,0.0017113545230084126,0.003944525253668396
ALDERPOINT,74324.01952178823,73368.0301085833,0.11018457093900647,0.11018457093900647,0.10707902001418657,0.10986581275227214,0.10986581275227214,0.08170266137968263,0.09804319365561931,0.06611074256340399,0.005787664009650917,0.05661674215769319,0.007066449203671721,0.09653548622999819,0.08199967999687185,0.04840161092695061,0.0077168853462010745,0.06536212910374617,0.04356465800963494,0.023570620181454505,0.0016572354399511102,0.003642601462802597
ALHAMBRA,1184737.7015110224,1232056.673298678,0.11636234906630116,0.11636234906630116,0.09951221614930472,0.027238771806503692,0.027238771806503692,0.03849743994057808,0.04619692792869412,0.06981740943978065,0.010070385395145265,0.08133121228654339,0.00902026140643597,0.12123193060075177,0.11323102595997292,0.05111537031052049,0.013427180526860316,0.03079795195246271,0.05825313101994001,0.032547863259985266,0.0016753060814740373,0.005089889973352468
ALISO VIEJO,849801.3480305579,941471.8490719907,0.10640625993790742,0.10640625993790742,0.0957705923401273,0.041421527627593435,0.041421527627593435,0.044653411898828654,0.05358409427859445,0.06384375596274428,0.015432245314827009,0.1026121987915607,0.00674047958207924,0.12862052923093248,0.08115676044655684,0.046741883639566106,0.020576327086436086,0.035722729519062746,0.06337214522347512,0.023328056236930794,0.001331634427358841,0.0037237252592006165
ALPAUGH,149249.11114077864,1333319.9213877972,0.13468361154446462,0.13468361154446462,0.11603475518182116,0.049846296037618365,0.049846296037618365,0.0539318368142645,0.06471820417711749,0.08081016692667886,0.005360277829252524,0.051311327821796704,0.009104807421381977,0.09844738957162769,0.12128117761153268,0.05916349003001797,0.0071470371056699955,0.04314546945141162,0.04248444108297622,0.0348613278597637,0.001145849707646751,0.005682755858389954
ALPINE,650886.6648231177,3739775.221599579,0.11730603816066842,0.11730603816066842,0.12005332924083445,0.09108692930867734,0.09108692930867734,0.0755567969645472,0.09066815635745684,0.07038362289640121,0.007711026765516826,0.06048210055480152,0.006692218233040004,0.09766498075072205,0.08378308710846649,0.051529911765756053,0.01028136902068899,0.06044543757163778,0.04287812578987915,0.02408297985212282,0.0011752548204566615,0.003843908854323508
ALTA,59181.89566456411,482382.6997214031,0.10214689631949725,0.10214689631949725,0.1058716316654702,0.12327617147952596,0.12327617147952596,0.08810599365613059,0.10572719238735673,0.061288137791698505,0.007636237582600014,0.06255995215008203,0.005838416041761052,0.09647949889076135,0.07212899621019464,0.04487084072586456,0.010181650110133389,0.07048479492490445,0.04408666107026815,0.020733319927401128,0.0011769780858709167,0.003201833945449928
ALTADENA,1002048.814558595,1610781.909689054,0.10553555610785059,0.10553555610785059,0.10531557896303423,0.07496077891845454,0.07496077891845454,0.06380928419998588,0.07657114103998275,0.06332133366471049,0.010792305894557375,0.07802867132336211,0.007025531115742445,0.11020851521013941,0.08772161801450173,0.04635940297411645,0.014389741192743166,0.05104742735998857,0.05200203713216944,0.025215162883748032,0.0012773557134400093,0.003991792623366686
ALTURAS,60653.82018286444,59429.82656827028,0.10177533474945044,0.10177533474945044,0.12698216627110115,0.09542197861381263,0.09542197861381263,0.07945653087468163,0.09534783704961802,0.061065200849670154,0.005724033504924342,0.059560748264315344,0.006784713414921373,0.10317658031964849,0.08870226342829401,0.04470762206107726,0.007632044673232308,0.06356522469974524,0.046962301719856825,0.02549705525038859,0.0010567500219380577,0.004031785039253055
AMADOR CITY,114684.77773078137,136796.97581306892,0.1164144692544844,0.1164144692544844,0.10666202125157032,0.10675543630568507,0.10675543630568507,0.08004322346573511,0.096051868158882,0.06984868155269053,0.008081042255935533,0.06384218155270105,0.005323505463306177,0.09852081181098404,0.07192004514394246,0.05113826554030054,0.010774723007913822,0.06403457877258811,0.044236303815517575,0.020673212432195,0.0007802210816024724,0.0032124080158771884
