Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
Tehama,0,-92178.73133139184,-225387.85665805556,-349094.01192488696,-460520.3209864892,-546684.6109633689,-589707.8407273379,-611908.3192193666,-638150.1074826656
Trinity,0,1531.0116119788872,-3651.941675478345,-7115.830271372266,-7869.374972845224,-6790.040138669676,-4066.5230286959995,225.92040309781441,4392.943843665358
Tulare,0,-14727360.788123898,-34249281.621953905,-58166116.08766188,-84191894.38298647,-107631993.11673227,-128946976.27782692,-149293558.96129313,-169313718.3545753
Tuolumne,0,187203.26915046136,-53412.545391255524,-279938.3420101855,-486046.3700277564,-682266.7264509487,-728285.1478227109,-718772.6057371222,-714548.7980796493
Ventura,0,-41401860.03427936,-84301852.64025919,-128327375.32075234,-169016386.42060074,-206194354.72661397,-233205958.60934013,-252747613.59628865,-268766968.7705118
Yolo,0,-1468905.2784865957,-3263438.1454949277,-5459534.664680474,-7394170.3807871025,-10566096.981420595,-12055155.587616393,-13881388.07864185,-15396232.570354996
Yuba,0,-168521.4786122007,-582478.3874106612,-1025072.8738962015,-1490354.9834363866,-1983893.6856308444,-2454182.7063321355,-2883243.0930170133,-3218264.034056659
BELL,0,-3845.401311116322,-7286.417459344666,-10443.250184819422,-13181.778580208775,-15469.993052344944,-17463.56927894024,-18938.593466082762,-19896.026119082933
BELLFLOWER,0,-3984.0922201266512,-7549.214375681535,-10819.903565689106,-13657.201430082496,-16027.944168609974,-18093.422037997516,-19621.64539900009,-20613.60941980948
BELMONT,0,-18315.35333804734,-31699.378923809505,-44810.45198773203,-56890.16701746057,-70503.28713422728,-85344.60283725831,-100512.72859490593,-113212.14758877532
BELVEDERE TIBURON,0,-2098.7090024501085,-2452.873974217975,-2776.2833476067754,-3462.1616314406856,-4615.877356847865,-5911.623321515799,-6966.620009744482,-7697.86930834793
BEN LOMOND,0,-30084.02830181591,-54713.48367816233,-81239.0411211485,-95898.66604866937,-120267.82362211443,-119925.07406679052,-125280.2522913625,-132262.54226005147
BENICIA,0,-68317.53583433654,-146177.97717910993,-227101.46331144276,-312230.62558670505,-401219.1080151489,-478044.09816248366,-547691.4917418363,-616439.2342689177
BERKELEY,0,747617.2500603227,1457208.9823646685,2151516.994458457,2773985.007839526,3377649.734504124,4007416.18827979,4641107.509805935,5187972.395918802
BERRY CREEK,0,-31480.972091163247,-82183.95433404864,-133688.28668008652,-169935.65155759084,-216425.8072118567,-234687.6064226485,-255614.05083788384,-275460.59624784894
BETHEL ISLAND,0,-82469.29801969402,-165367.66493342328,-248261.33659813215,-330430.91756361595,-416888.15858357877,-502021.59990269504,-582830.1355176261,-662845.016746203
BEVERLY HILLS,0,-39494.559407681925,-74835.76725282054,-107258.25765283837,-135384.3523100702,-158885.6048577897,-179360.75140335155,-194510.04669165646,-204343.3791899142
BIG BEAR CITY,0,91155.15220561804,221381.504001992,385741.8261215242,561541.0080985818,729419.8890128918,876819.0835380463,1004693.7430094734,1128431.1260825808
BIG BEAR LAKE,0,-87.71736287943531,-213.0323488929098,-371.1939790710967,-540.3628699265228,-701.9103007064805,-843.7504158398206,-966.8023101089075,-1085.8729484232717
BIG OAK FLAT,0,11949.14483939116,-3409.3114079524385,-17868.404809160766,-31024.23638475042,-43548.939986230806,-46486.286031236814,-45879.10249385885,-45609.497749764865
