Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
ANTIOCH,0,-63395.317756021395,-127119.78289778437,-190839.93845952395,-253999.86233594175,-320458.27778811404,-385898.88647574116,-448014.7699065914,-509520.3548577677
APPLE VALLEY,0,-62412.62635779125,-151576.6526282723,-264111.702628616,-384478.47998791304,-499422.5463210505,-600344.4767454893,-687898.1984675559,-772619.1696898658
APPLEGATE,0,-3816.1428113641596,-7538.540242097224,-11605.053784536634,-15971.294585398195,-20984.48019238595,-26189.375694081566,-30979.650133758187,-35539.73326259613
APTOS,0,-1667.0143137293635,-3031.3430844487157,-4500.342014989583,-5310.534500148147,-6659.826292435173,-6640.599051541882,-6936.74303650239,-7322.947351177572
ARBUCKLE,0,3832.9024658716226,11121.483806122851,17545.911392169335,23582.48338684073,29041.70175875112,33787.28141976369,37525.422958260286,40671.58978016395
ARCADIA,0,-12343.785675635096,-23389.46692537144,-33522.920591250295,-42313.562791890465,-49658.7375981661,-56058.12124938052,-60792.942386970855,-63866.291440210305
ARCATA,0,-1245.809379054699,-3362.497713812627,-5260.1264336788445,-5141.735413827293,-4206.477056523901,-2542.647619183641,-685.649424152798,506.05083278170787
ARMONA,0,-140.72986616227718,-2194.113699411071,-4338.561328342141,-6369.575625332029,-8473.136774823928,-10667.205106393492,-12634.394206845885,-14361.521610451513
ARNOLD,0,-4566.060736160609,-56066.54298935417,-97790.94381185994,-130081.02472485689,-157156.8921474096,-173606.51143969328,-179107.43944627466,-184133.0975908162
AROMAS,0,-4048.426935137366,-9125.370696539787,-14799.587020935607,-20767.96684836081,-26536.30408253742,-31794.56566572431,-36305.12068359295,-40877.19211370355
ARROYO GRANDE,0,1546.4440855989233,4574.254128496279,7714.917748326319,9629.32609506289,12874.49984515435,12946.719837502227,13667.606878006249,14187.43826748163
ARTESIA,0,-4635.926634095726,-8784.333438884292,-12590.135801976081,-15891.634905524435,-18650.250870855583,-21053.657934047107,-22831.910252273432,-23986.16655471112
ARVIN,0,-170600.06755913515,-509966.38257084554,-862055.2911691498,-1219151.216468205,-1585652.1926434815,-1957223.4294916485,-2333050.3194828858,-2697973.9215831407
ATASCADERO,0,-2755.1839639047394,-8149.240343532991,-13743.881978034857,-17152.429196719197,-22932.758424938307,-23061.132521993713,-24344.77631964232,-25270.266845061444
ATHERTON,0,-27421.35974593187,-47459.42718163348,-67088.65567716537,-85172.78193083708,-105553.40925423341,-127772.76227883768,-150481.33228634164,-169493.8464796968
ATWATER,0,-15552.497660569032,-39201.53748049657,-68540.10236106359,-98642.3114840939,-130975.87736340775,-162135.48639847536,-192534.57528858434,-221982.6581870598
AUBERRY,0,-286553.29929685243,-718525.7047849561,-1161528.2273425711,-1574916.5686487122,-1981140.308834087,-2352953.674157722,-2729040.6514278133,-3126614.6326826364
AUBURN,0,-53278.65961372224,-105247.84540310875,-162022.64188821963,-222980.9224604098,-292971.8916580181,-365639.4254851453,-432518.15499675577,-496183.08394877706
AVALON,0,0,0,0,0,0,0,0,0
AVENAL,0,-110.30429381685099,-1719.7438424403372,-3400.556629412138,-4992.453322284098,-6641.217901205731,-8360.921617205458,-9902.79632864581,-11256.51114653243
AZUSA,0,-648345.1507095732,-1228509.6075823829,-1760760.0157067177,-2222482.6322865468,-2608281.5946705514,-2944403.7588041965,-3193096.590077201,-3354522.1110171205
BAKERSFIELD,0,22997.522073877975,68750.00295650214,116217.98828536272,164365.43397887144,213776.95258480683,263872.1066161571,314542.1040199995,363742.34978692606
BALDWIN PARK,0,-12732.63646800723,-24126.293174766004,-34578.982018953655,-43646.595381158404,-51223.17236178275,-57824.163181849755,-62708.157900036545,-65878.33892683801
BALLICO,0,-27097.05468391966,-68300.93826718125,-119417.70196901138,-171865.226841162,-228200.23817125836,-282489.85970389436,-335454.4862811411,-386762.18095159763
BANNING,0,-3963.6380158654647,-8726.616716106655,-14403.299273274257,-20588.247456480516,-26471.96469753678,-31448.95942154806,-35706.955917843385,-39637.631635131314
