Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
BENICIA,848649.0393547019,871845.8511697873,898295.7713211097,925785.8362867442,954731.2287385704,984951.267827162,1011040.9578691655,1034693.4051519872,1058040.3660061653
BERKELEY,1722239.6838342876,1801487.388413769,1876739.1909432902,1950371.1558331244,2016461.6281212757,2080462.5617515256,2147229.3621986094,2214411.8554863497,2272390.747716892
BERRY CREEK,109990.51090613063,143793.8356570144,198240.18870396962,253547.1044307481,292476.5282427998,342397.36611063394,362007.3910866369,384479.1217408936,405791.293172941
BETHEL ISLAND,79084.96177254066,137222.299970643,195663.63538844173,254101.75477524468,312032.9053578039,372982.3739655202,432998.60398778185,489965.9566236497,546373.838700339
BEVERLY HILLS,884366.2225032328,905992.5047675448,925345.7736084857,943099.885101862,958502.8082836936,971371.6227126622,982583.4224836391,990879.0781274986,996263.8404458464
BIG BEAR CITY,276538.19431672257,285544.5550363781,298411.7977080541,314651.1499094536,332021.2901391407,348608.1741306565,363171.6179242456,375806.05828117405,388031.72586547874
BIG BEAR LAKE,33967.90665868813,34112.165590267155,34318.335619691665,34578.46634051625,34856.786973660746,35122.470983875406,35355.7451691834,35558.13076074723,35753.96905671783
BIG OAK FLAT,84375.07551326623,75918.28487790177,86790.1619632653,97025.43893027448,106341.70810890573,115206.27149194057,117285.69574825786,116856.82846652756,116666.86466021491
BIG PINE,52102.19220295362,61188.96644080315,67198.18958740914,74416.75198429436,78332.5121802904,78786.3571169831,77237.59564740834,74668.79325296974,72232.18895761254
BIG SUR,26548.72917198791,43206.61377247762,63869.85166146612,84132.5675476508,101817.73060615719,117057.90194190422,130719.56890308946,143997.71556071704,155717.02872369374
BIGGS,103557.14760675495,115469.93368784408,134659.39851860795,154152.01261013938,167875.55591298098,185468.61750516848,192379.87257132065,200299.8405212543,207811.14875542797
BIOLA,42291.824051507996,47291.28890806013,54830.674635407784,62560.3907443476,69774.1776680406,76861.55183991522,83348.57869654907,89910.31258952944,96846.91489708143
BIRDS LANDING,165904.75969326205,333366.66876877425,524225.62527738645,722594.8717567879,931290.8438403644,1149430.6934591585,1337754.7453860724,1508484.8697285454,1677010.2499984507
BISHOP,258202.16978200545,262396.5240500238,265176.8124489941,268515.08724717196,270338.7489556149,270549.51875096705,269836.2930547928,268653.05188244506,267530.7933982831
